foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
pulover (-ja),noun,m ,Pullover,,8,Substantiv ,459,http://mrg.bz/hxVY5v,sweater
punca-e,noun,f ,"Mädchen, Mädel - umgangssprachlich",0,10,Substantiv ,459,,
"puranji -a, -e",adj,-,Truthahn,,10,Adjektiv ,208,,
pѓvič,adj,-,das erste Mal,,2,Adverb ,208,,
"rad -a, -o",adj,-,gern,,4,Adverb ,208,,
"rad, -a, -o",adj,-,gern,,14,Adverb ,208,,
radenska (-e),noun,f ,"Mineralwassermarke, auch Synonym für Mineralwasser",0,5,Substantiv ,459,,
rádio (-a),noun,m ,Radio,,1,Substantiv ,459,,
ravnina (-e),noun,f ,Ebene,,14,Substantiv ,459,,
ravno,adj,-,gerade,,6,Adverb ,208,,
"raznolik, -a, -o",adj,-,vielfältig,,14,Adjektiv ,208,,
razstava-e,noun,f ,Ausstellung,,9,Substantiv ,459,,
"rdeč, -a, -e",adj,-,rot,,14,Adjektiv ,208,,
"rdèč, rdéča, -e",adj,-,rot,,3,Adjektiv ,208,,
rdeče vino,noun,n ,Rotwein,,5,Substantiv ,459,,
recept-a,noun,m ,Rezept,,10,Substantiv ,459,,
réd (-a),noun,m ,Ordnung,,2,Substantiv ,459,,
réka (-e),noun,f ,Fluss,,3,Substantiv ,459,,
rep-a,noun,m ,Schwanz,,9,Substantiv ,459,,
repúblika (-e),noun,f ,Republik,,1,Substantiv ,459,,
res,adj,-,echt,,9,Adverb ,208,,
restavrácija (-e),noun,f ,Restaurant,,3,Substantiv ,459,,
"ribji-a, -e",adj,-,Fisch-,,9,Adjektiv ,208,,
ričet (-a),noun,m ,Gerstengraupensuppe,,5,Substantiv ,459,,
riž-a,noun,m/Sg ,Reis,,10,Substantiv ,459,,
rižota (-e),noun,f ,Risotto,,5,Substantiv ,459,,
"rjàv, rjáva, -o",adj,-,braun,,3,Adjektiv ,208,,
"roditi se, -i se",verb,-,geboren werden,,12,"Verb, impf/pf ",145,,
"rojstni, -a,-o",adj,-,Geburts-,,7,Adjektiv ,208,,
róža (-e),noun,f ,Blume,,3,Substantiv ,459,,
róza (unveränderlich),adj,-,rosa,,3,Adjektiv ,208,,
rum (-a),noun,m ,Rum,,5,Substantiv ,459,,
"rumèn, rumêna, -o",adj,-,gelb,,3,Adjektiv ,208,,
Rús (-a),noun,m ,Russe,,1,Substantiv ,459,,
"sadje, -a",noun,n ,Obst,,11,"Substantiv, Sg ",459,,
sadni čaj,noun,m ,Früchtetee,,5,Substantiv ,459,,
saj,mix,-,denn,,9,Konjunktion ,32,,
"sam, -a, -o",pron,-,"er, sie, es selbst",,6,Pronomen ,28,,
samo,adj,-,nur,,10,Adverb ,208,,
samó,adj,-,nur,,3,Adverb ,208,,
šampón (-a),noun,m ,Shampoo,,1,Substantiv ,459,,
še,adj,-,noch,,6,Adverb ,208,,
še (še danes),mix,-,noch (noch heute),,15,Partikel ,32,,
sendvič (-a),noun,m ,Sandwich,,5,Substantiv ,459,,
séndvič (-a),noun,m ,Sandwich,,1,Substantiv ,459,,
septêmber (-bra),noun,m ,September,,1,Substantiv ,459,,
sestrična-e,noun,f ,Cousine,,9,Substantiv ,459,,
seveda,adj,-,natürlich,,13,Adverb ,208,,
sevéda,adj,-,natürlich,,5,Adverb ,208,,
sever (-a),noun,m ,Norden,,8,Substantiv ,459,,
"severni, -a, -o",adj,-,Nord-,,14,Adjektiv ,208,,
severovzhod (-a),noun,m ,Nordosten,,14,Substantiv ,459,,
severozahod (-a),noun,m ,Nordwesten,,14,Substantiv ,459,,
sicer,mix,-,ansonsten,,14,Konjunktion ,32,,
sín (-a),noun,m ,Sohn,,2,Substantiv ,459,,
sin (-a) (Pl. sinovi),noun,m ,Sohn,,7,Substantiv ,459,,
sirov zavitek,noun,m ,Topfenstrudel,,5,Substantiv ,459,,
"sív -a, -o",adj,-,grau,,3,Adjektiv ,208,,
skladišče-a,noun,n ,Lager,,9,Substantiv ,459,,
škoda,mix,-,schade,,11,Interjektion ,32,,
škoda-e,noun,f ,Schade,,10,Substantiv ,459,,
skuhati -am,verb,-,(fertig) kochen,,10,"Verb, pf ",145,,
"skúhati, -a",verb,-,kochen,,15,"Verb, pf ",145,,
skupaj,adj,-,zusammen,,6,Adverb ,208,,
skúpaj,adj,-,"zusammen, gemeinsam",,15,Adverb ,208,,
"slab -a, -o",adj,-,schlecht,,13,Adjektiv ,208,,
slabo,adj,-,schlecht,,7,Adverb ,208,,
slabó,adj,-,schlecht,,2,Adverb ,208,,
sladice,noun,f ,Nachspeisen,,5,"Substantiv, pl ",459,,
sladoled (-a),noun,m ,Eiscreme,,5,Substantiv ,459,,
slavistika (-e),noun,f ,Slawistik,,6,Substantiv ,459,,
slika-e,noun,f ,Bild,,9,Substantiv ,459,,
"slikati, -a",verb,-,malen,,4,"Verb, impf ",145,,
"sliva, -e",noun,f ,Pflaume,,11,Substantiv ,459,,
Slovénija (-e),noun,f ,Slowenien,,1,Substantiv ,459,,
slovenščina (-e),noun,-,slowenische Sprache,,12,"Substantiv, f ",459,,
"slovenski -a, -o",adj,-,slowenisch,,13,Adjektiv ,208,,
"slovénski -a, -o",adj,-,slowenisch,,1,Adjektiv ,208,,
"slovenski, -a, -o",adj,-,slowenisch,,12,Adjektiv ,208,,
"slovensko-hrvaški, -a, -o",adj,-,slowenisch-kroatisch,,14,Adjektiv ,208,,
smetana-e,noun,f/Sg ,Sahne,,10,Substantiv ,459,,
"smučati, -a",verb,-,Ski fahren,,4,"Verb, impf ",145,,
sôba (-e),noun,f ,Zimmer,,3,Substantiv ,459,,
soba-e,noun,f ,Zimmer,,10,Substantiv ,459,,
sok (-a),noun,m ,Saft,,5,Substantiv ,459,,
sók (-a),noun,m ,Saft,,5,Substantiv ,459,,
šólar (-ja),noun,m ,Schüler,,2,Substantiv ,459,,
solata (-e),noun,f ,Salat,,5,Substantiv ,459,,
"solata, -e",noun,f ,Salat,,11,Substantiv ,459,,
sónce (-a),noun,n ,Sonne,,2,Substantiv ,459,http://mrg.bz/Tv8cv1,sun
sôsed (-a),noun,m ,Nachbar,,2,Substantiv ,459,,
sosed-eda,noun,m ,Nachbar,,9,Substantiv ,459,,
"sosednji, -a, -e",adj,-,Nachbar-,,14,Adjektiv ,208,,
sošólec (-lca),noun,m ,Mitschüler,,2,Substantiv ,459,,
špaget (-a),noun,m ,Spaghetti,0,13,Substantiv ,459,,
špageti,noun,m ,Spaghetti,,5,"Substantiv, pl ",459,http://mrg.bz/wC1P4O,pasta
"speči, speče",verb,-,(fertig) backen,,10,"Verb, pf ",145,,
"špinača, -e",noun,f ,Spinat,,11,"Substantiv, Sg ",459,,
spodaj,adj,-,unten,,8,Adverb ,208,,
spomenik (-a),noun,m ,Denkmal,,8,Substantiv ,459,,
"spomniti se, -i se",verb,-,sich erinnern,,12,"Verb, pf ",145,,
"spomniti, -i (na+Akk)",verb,-,erinnern an,,7,"Verb, pf ",145,,
špórt (-a),noun,m ,Sport,,1,Substantiv ,459,,
"spoštován -a, -o",adj,-,geehrt,,2,Adjektiv ,208,,
spotoma,adj,-,unterwegs,,6,Adverb ,208,,
"spraševati, -šuje",verb,-,fragen,,7,"Verb, impf ",145,,
sprehod-oda,noun,m ,Spaziergang,,9,Substantiv ,459,,
spretno,adj,-,geschickt,,6,Adverb ,208,,
"sréčati, -a",verb,-,treffen,,2,"Verb, pf ",145,,
središče (-a),noun,n ,Zentrum,,14,Substantiv ,459,,
stanovánje (-a),noun,n ,Wohnung,,3,Substantiv ,459,,
stanovati-uje,verb,-,wohnen,,9,"Verb, imp ",145,,
"stàr , stára, stáro",adj,-,alt,,2,Adjektiv ,208,,
"star, -a, -o",adj,-,alt,,14,Adjektiv ,208,,
"stàr, stára, -o",adj,-,alt,,3,Adjektiv ,208,,
"starejši, -a, -e",adj,-,älter,,14,Adjektiv ,208,,
stárost (-i),noun,f ,Alter,,2,Substantiv ,459,,
starši (-ev),noun,"m, Pl. ",Eltern,,7,Substantiv ,459,,
starši-šev,noun,m/Pl ,Eltern,,10,Substantiv ,459,,
"stati,stoji",verb,-,stehen,,9,"Verb, imp ",145,,
stávba (-e),noun,f ,Gebäude,,3,Substantiv ,459,,
števílka (-e),noun,f ,Nummer,,2,Substantiv ,459,,
"štirje, štiri",mix,-,vier,,10,Numerale ,32,,
stol (-a),noun,m ,Stuhl,,8,Substantiv ,459,http://mrg.bz/LAVMLr,chair
stòl (-a),noun,m ,Stuhl,,3,Substantiv ,459,,
stran (-i),noun,f ,Seite,,8,Substantiv ,459,,
stríc (-a),noun,m ,Onkel,,2,Substantiv ,459,,
štrukelj (-klja),noun,m ,Teigrolle mit süßer oder herzhafter Füllung,0,5,Substantiv ,459,,
študènt (-a),noun,m ,Student,,1,Substantiv ,459,,
"študirati, -a",verb,-,studieren,,4,"Verb, impf ",145,,
"stuširati se, -a se",verb,-,duschen,,4,"Verb, pf ",145,,
stvar (-i),noun,f ,Sache,,8,Substantiv ,459,,
súper,adj,-,super,,2,Adverb ,208,,
svetlo pivo,noun,n ,helles Bier,,5,Substantiv ,459,http://mrg.bz/uyFUbJ,lightbeer
Sveto pismo (-ega -a),noun,-,Heilige Schrift,,12,"Substantiv, n ",459,,
"svež, -a, -e",adj,-,frisch,,6,Adjektiv ,208,,
"ta, ta, to",pron,-,"dieser, diese, dieses",,13,"Demonstrativpronomen, m/f/n ",28,,
"tá, tá, tó",pron,-,das,,3,Demonstrativpronomen ,28,,
takó,adj,-,so,,2,Adverb ,208,,
takój,adj,-,sofort,,5,Adverb ,208,,
takole,adj,-,so,,11,Adverb ,208,,
tam,adj,-,dort,,13,Adverb ,208,,
tàm,adj,-,dort,,3,Adverb ,208,,
"tánek -nka, -o",adj,-,dünn,,3,Adjektiv ,208,,
teden-dna,noun,m ,Woche,,9,Substantiv ,459,,
telefón (-a),noun,m ,Telefon,,1,Substantiv ,459,http://mrg.bz/kFA3wa,"telephone,telephone1"
"telefonírati, -a + Dativ",verb,-,anrufen,,2,"Verb, pf / impf ",145,,
"telefónski -a, -o",adj,-,Telefon-,,2,Adjektiv ,208,,
televizija (-e),noun,f ,Fernsehen,,6,Substantiv ,459,,
"telovaditi, -i",verb,-,turnen,,4,"Verb, impf ",145,,
temno pivo,noun,n ,dunkles Bier,,5,Substantiv ,459,http://mrg.bz/oVLrp8,darkbeer
tést (-a),noun,m ,Test,,1,Substantiv ,459,,
teta-e,noun,f ,Tante,,10,Substantiv ,459,,
"tisti, -a, -o",pron,-,"dieser, diese, dieses",,8,Demonstrativpronomen ,28,,
tja,adj,-,dorthin,,9,Adverb ,208,,
točeno pivo,noun,n ,gezapftes Bier,,5,Substantiv ,459,,
toliko,adj,-,so viel,,14,Adverb ,208,,
topli napitki,noun,m ,Heisse Getränke,,5,Substantiv /pl ,459,,
torba-e,noun,f ,Tasche,,9,Substantiv ,459,,
torta (-e),noun,f ,Torte,,5,Substantiv ,459,,
tŕg (-a),noun,m ,"Platz, Markt",,3,Substantiv ,459,,
trgovína (-e),noun,f ,Geschäft,,8,Substantiv ,459,,
trgovina-e,noun,f ,Geschäft,,9,Substantiv ,459,,
"tržnica, -e",noun,f ,Markt,,11,Substantiv ,459,,
tudi,mix,-,auch,,4,Konjunktion ,32,,
"tuj, -a, -e",adj,-,fremd,,14,Adjektiv ,208,,
tukaj,adj,-,hier,,10,Adverb ,208,,
túkaj,adj,-,hier,,2,Adverb ,208,,
turíst (-a),noun,m ,Turist,,1,Substantiv ,459,,
"turístičen, -a, -o",adj,-,touristisch,,15,Adjektiv ,208,,
"turistični, -a, -o",adj,-,Tourist-,,6,Adjektiv ,208,,
"tvój, tvôja, -e",pron,-,dein,,3,Possessivpronomen ,28,,
učíteljica (-e),noun,f ,Lehrerin,,2,Substantiv ,459,,
učiti-i,verb,-,unterrichten,,9,"Verb, imp ",145,,
úlica (-e),noun,f ,Straße,,8,Substantiv ,459,,
umétnik (-a),noun,m ,Künstler,,2,Substantiv ,459,,
"umreti, -e",verb,-,sterben,,12,"Verb, pf ",145,,
unija (-e),noun,f ,Union,,14,Substantiv ,459,,
uníja (-e),noun,f ,Union,,1,Substantiv ,459,,
univêrza (-e),noun,f ,Universität,,1,Substantiv ,459,,
"upati, -a",verb,-,hoffen,,13,"Verb, impf ",145,,
uporabiti-i,verb,-,verwenden,,9,"Verb, pf ",145,,
uporabljati-a,verb,-,verwenden,,9,"Verb, imp ",145,,
ura (-e),noun,f ,Stunde,,6,Substantiv ,459,,
úra (-e),noun,f ,"Uhr, Stunde",,1,Substantiv ,459,,
urnik-a,noun,m ,Stundenplan,,9,Substantiv ,459,,
"uspešen, -šna, -o",adj,-,erfolgreich,,14,Adjektiv ,208,,
"uspešnejši, -a, -e",adj,-,erfolgreicher,,14,Adjektiv ,208,,
"utrújen, -a, -o",adj,-,müde,,6,Adjektiv ,208,,
v,prep,-,in,,13,"Präposition, Akk. ",18,,
vabilo (-a),noun,n ,Einladung,,7,Substantiv ,459,,
vaza (-e),noun,f ,Vase,,7,Substantiv ,459,,
včasih,adj,-,manchmal,,6,Adverb ,208,,
več,adj,-,mehr,,11,Adverb ,208,,
večér (-a),noun,m ,Abend,,2,Substantiv ,459,,
večerja (-e),noun,f ,Abendessen,,6,Substantiv ,459,,
večerja-e,noun,f ,Abendessen,,10,Substantiv ,459,,
"večji, -a, -e",adj,-,größer,,14,Adjektiv ,208,,
večkrat,adj,-,öfter,,9,Adverb ,208,,
"vedeti, ve",verb,-,wissen,,14,Verb/impf ,145,,
vedno,adj,-,immer,,10,Adverb ,208,,
vegetarijánec (-nca),noun,m ,Vegetarier,,1,Substantiv ,459,,
"velik, -a, -o",adj,-,groß,,14,Adjektiv ,208,,
"vêlik, velíka, -o",adj,-,groß,,3,Adjektiv ,208,,
veliko,adj,-,viel,,12,Adverb ,208,,
veliko pivo,noun,n ,großes Bier,,5,Substantiv ,459,,
vendar,mix,-,aber,,6,Konjunktion ,32,,
"vesel, -a,-o",adj,-,froh,,7,Adjektiv ,208,,
"veseliti se, -i se",verb,-,sich freuen,,13,"Verb, impf ",145,,
"veseliti se, veselí se",verb,-,sich freuen,,10,"Verb, imp ",145,,
veselje-a,noun,n ,Freude,,9,Substantiv ,459,,
"vídeti, -i",verb,-,sehen,,8,"Verb, impf / pf ",145,,
"videti, vidi",verb,-,sehen,,9,"Verb, imp und pf ",145,,
"vídeti, vídi",verb,-,sehen,,2,"Verb, pf / impf ",145,,
vino (-a),noun,n ,Wein,,5,Substantiv ,459,http://mrg.bz/DAmoAa,"wine,wine1"
víno (-a),noun,n ,Wein,,1,Substantiv ,459,,
"visok, -a, -o",adj,-,hoch,,14,Adjektiv ,208,,
vitamin (-a),noun,m ,Vitamin,,6,Substantiv ,459,,
víza (-e),noun,f ,Visa,,1,Substantiv ,459,,
vôda (-e),noun,f ,Wasser,,5,Substantiv ,459,,
vrata-ø,noun,n/Pl ,Tür,,10,Substantiv ,459,,
vreme (-mena),noun,n ,Wetter,,13,Substantiv ,459,,
"vrniti se, vrne se",verb,-,zurückkehren,,6,"Verb, pf ",145,,
vroča čokolada (-e/-e),noun,f ,Heiße Schokolade (sehr dickflüssig),,5,Substantiv ,459,,
vrtnica (-e),noun,f ,Rose,,7,Substantiv ,459,,
"vsak -a, -o",adj,-,jeder,,4,Adjektiv ,208,,
vsè,adj,-,alles,,5,Adverb ,208,,
vsi,pron,-,alle,,7,Pronom ,28,,
"vsi, vse, vsa",pron,-,alle,,14,Pronomen / Pl ,28,,
"vsi, vseh / vse, vseh",pron,-,alle,,12,Pronomen ,28,,
"vstati, vstane",verb,-,"aufstehen, sich erheben",,4,"Verb, pf ",145,,
"vzéti, vzáme, vzemi!",verb,-,nehmen,,15,"Verb, pf ",145,,
vzhòd (-óda),noun,m ,Osten,,8,Substantiv ,459,,
z,prep,-,aus,,2,Präposition (+Gen) ,18,,
z ali brez,mix,-,mit oder ohne (Sahne),,5,Redewendung ,32,,
za,prep,-,-,,6,Präposition,18,,
zabava (-e),noun,f ,"Fest, Party",,7,Substantiv ,459,,
"zabavati se, -a se",verb,-,"sich unterhalten, sich vergnügen",,4,"Verb, impf ",145,,
začetek (-tka),noun,-,Anfang,,12,"Substantiv, m ",459,,
"začéti, -čnè",verb,-,"anfangen, beginnen",,8,"Verb, pf ",145,,
"začeti, začne",verb,-,anfangen,,6,"Verb, pf ",145,,
zádaj,adj,-,hinten,,3,Adverb ,208,,
zahajati-a,verb,-,hingehen,,9,"Verb, imp ",145,,
zahòd (-óda),noun,m ,Westen,,8,Substantiv ,459,,
"zahteven-vna, -o",adj,-,anspruchsvoll,,9,Adjektiv ,208,,
"zahvaliti se, -i se",verb,-,danken,,7,"Verb, pf ",145,,
zajtrk (-a),noun,m ,Frühstück,,4,Substantiv ,459,,
"zajtrkovati, zajtrkuje",verb,-,frühstücken,,4,"Verb, impf ",145,,
zakaj,adj,-,warum,,13,Adverb ,208,,
žal,adj,-,leider,,11,Adverb ,208,,
žàl,adj,-,leider,,5,Adverb ,208,,
"zanimiv-a, -o",adj,-,interessant,,9,Adjektiv ,208,,
"zanimiv, -a, -o",adj,-,interessant,,14,Adjektiv ,208,,
"zanimivejši, -a, -e",adj,-,interessanter,,14,Adjektiv ,208,,
zanimivo,adj,-,interessant,,13,Adverb ,208,,
zanimívo,adj,-,interessant,,15,Adverb ,208,,
"zapeljati, zapelje",verb,-,fahren,,6,"Verb, pf ",145,,
"zapolnjen-a, -o",adj,-,voll,,9,Adjektiv ,208,,
"zapréti, -è",verb,-,zumachen,,5,"Verb, pf ",145,,
žargón (-a),noun,m ,Jargon,,1,Substantiv ,459,,
"zaspan, -a, -o",adj,-,schläfrig,,6,Adjektiv ,208,,
zavitek (-tka),noun,m ,Strudel,,5,Substantiv ,459,,
zbirka (-e),noun,-,Sammlung,,12,"Substantiv, f ",459,,
zdaj,adj,-,jetzt,,9,Adverb ,208,,
"zdrav, -a, -o",adj,-,gesund,,6,Adjektiv ,208,,
zdrávo,mix,-,Hallo,,2,Interjektion ,32,,
že,adj,-,schon,,13,Adverb ,208,,
zébra (-e),noun,f ,Zebra,,1,Substantiv ,459,http://mrg.bz/1vT9RP,"zebra,zebra1"
"zelèn, zelêna, -o",adj,-,grün,,3,Adjektiv ,208,,
zelena solata,noun,f ,grüner Salat,,5,Substantiv ,459,,
zeleni čaj,noun,m ,grüner Tee,,5,Substantiv ,459,,
"zelenjaven-vna, -o",adj,-,Gemüse-,0,10,Adjektiv ,208,,
zelenjavna juha,noun,f ,Gemüsesuppe,,5,Substantiv ,459,,
"želeti, -i",verb,-,wünschen,,11,"Verb, imp ",145,,
"želézniška postája (-e, -e)",adj,-,Bahn-Bahnhof,,8,Adjektiv ,208,,
"zelje, -a",noun,n ,Kohl,,11,"Substantiv, Sg ",459,,
"zélje, (-a)",noun,-,"Kohl, Sauerkraut",,15,"Substantiv, m ",459,,
zelo,adj,-,sehr,,9,Adverb ,208,,
zeló,adj,-,sehr,,2,Adverb ,208,,
žena (-e),noun,f ,Ehefrau,,7,Substantiv ,459,,
žganci,noun,m ,Getreidebrei,,5,"Substantiv, pl ",459,,
zgodaj,adj,-,früh,,13,Adverb ,208,,
zgodba-e,noun,f ,Geschichte,,9,Substantiv ,459,,
"zgodovinski-a, -o",adj,-,Geschichts-,,9,Adjektiv ,208,,
zgôraj,adj,-,oben,,3,Adverb ,208,,
Zimbabve (-ja),noun,m ,Simbabwe,,1,Substantiv ,459,,
živeti-i,verb,-,leben,,9,"Verb, imp ",145,,
"živeti, živi",verb,-,leben,,12,"Verb, impf ",145,,
"živéti, živí",verb,-,leben,,2,"Verb, impf ",145,,
žívjo oder žívijo,mix,-,Hallo,,2,Interjektion ,32,,
življenje (-a),noun,-,Leben,,12,"Substantiv, n ",459,,
zjutraj,adj,-,"morgens, am Morgen",,4,Adverb ,208,,
Zlatorog pivo,noun,n ,in Slowenien produzierte Biermarken,0,5,Substantiv (Eigennamen) ,459,,
"zméšati, -a",verb,-,zusammenmischen,,15,"Verb, pf ",145,,
znamenitost-i,noun,f ,Sehenswürdigkeit,,9,Substantiv ,459,,
"znan -a, -o",adj,-,bekannt,,13,Adjektiv ,208,,
"znati, -a",verb,-,können,,12,"Verb, impf ",145,,
"znati, zna",verb,-,können,,4,"Verb, impf ",145,,
zófa (-e),noun,f ,Sofa,,1,Substantiv ,459,http://mrg.bz/CaA89c,couch
zraven,prep,-,"daneben, mit-",,13,"Präposition, Gen. ",18,,
zrezek (-zka),noun,m ,Schnitzel,,13,Substantiv ,459,,
zrézek (-zka),noun,m ,Schnitzel,,6,Substantiv ,459,,
zrezek-zka,noun,m ,Schnitzel,,10,Substantiv ,459,,
zvečer,adj,-,"abends, am Abend",,4,Adverb ,208,,
zvečér,adj,-,"am Abend, abends",,15,Adverb ,208,,
"zvédeti, zvé",verb,-,erfahren,,6,"Verb, pf ",145,,
zvoniti-i,verb,-,klingeln,,10,"Verb, impf ",145,,
